category,feature,support,precision,recall,f1
POS,ADJ,155,14.29,0.65,1.23
POS,ADP,42,0.0,0.0,0.0
POS,ADV,52,29.41,19.23,23.26
POS,AUX,17,0.0,0.0,0.0
POS,CONJ,24,0.0,0.0,0.0
POS,DET,28,0.0,0.0,0.0
POS,INTJ,4,0.0,0.0,0.0
POS,NOUN,1188,63.4,85.02,72.64
POS,NUM,55,54.41,67.27,60.16
POS,PART,17,0.0,0.0,0.0
POS,PRON,135,26.76,42.22,32.76
POS,PROPN,6,0.0,0.0,0.0
POS,PUNCT,950,99.89,99.89,99.89
POS,VERB,941,83.49,66.1,73.78
CASE,Abl,25,0.0,0.0,0.0
CASE,Acc,72,46.3,34.72,39.68
CASE,Dat,46,38.89,76.09,51.47
CASE,Gen,44,60.61,45.45,51.95
CASE,Loc,48,35.63,64.58,45.93
CASE,Nom,933,94.8,91.85,93.3
NUMBER,Plur,145,86.16,94.48,90.13
NUMBER,Sing,140,93.65,84.29,88.72
PERSON,1,175,99.42,97.71,98.56
PERSON,2,39,90.0,46.15,61.02
PERSON,3,458,95.0,99.56,97.23
TENSE,Fut,3,0.0,0.0,0.0
TENSE,Past,549,96.8,99.09,97.93
TENSE,Pres,71,90.16,77.46,83.33
MOOD,Cnd,6,30.77,66.67,42.11
MOOD,Des,1,0.0,0.0,0.0
MOOD,Imp,57,91.38,92.98,92.17
MOOD,Ind,78,95.95,91.03,93.42
MOOD,Int,1,0.0,0.0,0.0
MOOD,Opt,1,0.0,0.0,0.0
MOOD,Pot,1,0.0,0.0,0.0
VERB_VOICE,Caus,4,100.0,50.0,66.67
VERB_VOICE,Pass,12,85.71,100.0,92.31
VERB_FORM,Conv,90,88.24,16.67,28.04
VERB_FORM,Fin,486,90.17,98.15,93.99
VERB_FORM,Inf,19,17.81,68.42,28.26
VERB_FORM,Part,52,71.43,57.69,63.83
VERB_FORM,Vnoun,14,0.0,0.0,0.0
NEGATIVE,Neg,58,100.0,100.0,100.0
